Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
A gummy exudate collected from rocks,iljta/iljatu,,Korpoora Silasathu/ Koomothira Sitayathu,Black betumin/Mineral Pitch,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
amber,Kaharuva / Trnakanta mani,,Amber,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Ammonium chloride,via lavaa,,Navacharam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Arsenic oxide,malla,Samm-al-Faar/Sankhya/ Zirneekh/ Hartal,Arithaaram,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
arsenic sulphide,manail,Mansal/Manrakt/Zirneekh-e-Surkh,"Manosilai,Silai,Kunadi,Vil,Naan mugan,Saraswathi,Vaani Vellachi,Thaamarai vaasini",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Black oxide of manganese,vaikrnta,,Kakkaccilai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
blue vitriol,tuttha,Aaboos//Tootiya-e-Sabz/Heera Kasees / Tootia/Sang-e-Surmah/Hajar-al-Kohl,"Thutham,Thurusu,Mayil thutham,Kandar,Narpachai,",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
bronze,ksya,Kaansa,"Venkalam,Urai,Kanjam,Thaaram",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
calamite,kharpara,Hajar-e-Basri/Sang-e-Basri/Khaparia,Pal thutham,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Cinnabar,higula,Shanjraf/Shangraf/ Zanjafar,"lingam,Aanguri,Vannikarpam,Kalikkam,Kaanjanam",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
copper pyrite,mkika,,Sembunimilai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Dried smoke of burnt wood,ghadhma,,Pugai saambal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Galena,ajana,,"Anjanakal,Karunimilai,Karu maakkal,Neelanjam",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Gold,svara,Ibreez/Tilaa-e-Khaalis/Sona/Zahab,Thangam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Impure sodium bicarbonate,svarjikkra,,"Appalakkaaram,Uzhaman",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
iron rust,mara,Chattem/Reem-e-Aahan/Khabas-al-Hadeed,"mandooram,kittam,Chittam,Ayomalam,Loga mandooram,Aya chittam",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Iron sulphate,kssa,,Annabedhi,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Lime,cra,Aahak/ Choona / Norah / Kils,Chunnaambukkal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Magnatite,knta pa/lauha,,"Kaantham,Murugan puraanam,Siva loga sevagan,Tharanikku naadham,Kaya sitthikku paakiyavaan",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
orpiment,haritla,Zirneekh-e-Zard/Hartaal Tabqi/Hartaal Warqi,"Thalakam,ArIthaaram,Ponvarni,Maaldevi,Kothandham,Peethagi,Aalambi,Kaal puthi,Paluppu,Manjal varni",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Perchloride of mercury,rasakarpra,Daar Shikna/Daar Chikna,Veeram,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Potash Alum,Saurastri / Sphatika,Zaaj-e-Safaid/Zaaj-e-Abyaz/Phitkari/Shibb,"Padikaaram,Cheenam,Padiki",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Potassium nitrate,soraka,,"Vediuppu,Pottiluppu,Inangan,Padai raasan,Poomi koormai,Navachaara mithuru, Attuppu",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Processed HgS,Rasa sindura,,Suddhitha rasa Chenduram,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Red Ochre,gairika,Geru/ Barteeqoon/Teen-e-Ahmar/ Maghrah/Gil-e-Surkh,Poongkaavi,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Red oxide of mercury,girisindra,,Rasa Chendooram,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
rock salt,Saindhava lavana,Namak-e-Sang / Saindha lon/Saindha Namak/Namak-e-Hindi/Namak-e-Lahori,"Indhuppu,mathiuppu ,saindhalavanam,mathi koormai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Sand stone,sphaika,,Spadikam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Sea salt,smudra lavaa,Milh-hudd-Dabbaagheen / Oudbhidlon/Paangalon/Namak Daryaiee/Samandar lon,"Kadal Uppu,Kadal kuruvi, Kalluppu, Paaraiuppu, Thiruppullaniuppu",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Silver,rajata,Nuqrah/ Chaandi/Guwaarna,"Velli,Sukkiran,Madurai podhu,Ven thaadhu,Ven pon,Rasidha mani,Kala thoudham",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
Sulphur,Gandhaka,Kibreet/ Gandhak,"Gandhakam,Kandhi,Kaarilaiyin naadham,Devi uram,Sendhoorathaadhi,Parai naadham,Atheetha pirakasam,Sakthi peejam,Rasa suronitham,Selvi vindhu",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
tin,vaga,Qalai/Raang,"Velvangam,Ven naagam,Kudilam,Thavala vangam,Svetha vangam,Paandi,Maarasam",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Metal.asp
